reviewedIn,userId,userProfileLink,ratingScore,reviewTitle,reviewId,reviewUrl,reviewReaction,reviewDescription,isVerified,isAmazonVine,reviewImages,date,position,variant,variantAttributes,totalCategoryRatings,totalCategoryReviews,reviewCategoryUrl,filterByRating,filterByKeyword,productAsin,productOriginalAsin,variantAsin,product,input,country,countryCode
Reviewed in India on 15 January 2025,amzn1.account.AEWLO6WLZ7V7ON4Q5BMNXWIQWZZA,https://www.amazon.in/gp/profile/amzn1.account.AEWLO6WLZ7V7ON4Q5BMNXWIQWZZA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good one,RRRUO4N41YOZW,https://www.amazon.in/gp/customer-reviews/RRRUO4N41YOZW/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Worth for money and Good to use. Looking good and quality is good,True,False,"['https://m.media-amazon.com/images/I/51ynbhAcryL._SY88.jpg', 'https://m.media-amazon.com/images/I/61EdZzYi7HL._SY88.jpg']",2025-01-15,1,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 26 January 2025,amzn1.account.AH2B5MOICCF23GTJEPAAW2OMGUTA,https://www.amazon.in/gp/profile/amzn1.account.AH2B5MOICCF23GTJEPAAW2OMGUTA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,1,Worst product,R1993HDK1QU5ND,https://www.amazon.in/gp/customer-reviews/R1993HDK1QU5ND/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Worst product i asked for refund but replaced with the same product by changing the lable and package literally a worst service and worst product pls dont buy it and this one star for delivered in advance and without any damage but literally a worst product pls dont waste ur money,True,False,[],2025-01-26,2,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 24 January 2025,amzn1.account.AG4NZ6HOUWNEAY4ZYEYMW54WV2FA,https://www.amazon.in/gp/profile/amzn1.account.AG4NZ6HOUWNEAY4ZYEYMW54WV2FA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Super Product,R1X40OU0GPSOFF,https://www.amazon.in/gp/customer-reviews/R1X40OU0GPSOFF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Superb quality product at reasonable price. Really impressed with the Product.,True,False,[],2025-01-24,3,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 28 January 2025,amzn1.account.AHL7WFJI7VQZ64MTCK6VGTRZ7J4A,https://www.amazon.in/gp/profile/amzn1.account.AHL7WFJI7VQZ64MTCK6VGTRZ7J4A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good.,R1GMNTWLB29TYN,https://www.amazon.in/gp/customer-reviews/R1GMNTWLB29TYN/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Very user-friendly for kids,True,False,[],2025-01-28,4,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 25 January 2025,amzn1.account.AEHB5GSJA4WUYU2IH6MU4WGYT54A,https://www.amazon.in/gp/profile/amzn1.account.AEHB5GSJA4WUYU2IH6MU4WGYT54A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very good watch at low price,RW6C51QF0C5G5,https://www.amazon.in/gp/customer-reviews/RW6C51QF0C5G5/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,,True,False,"['https://m.media-amazon.com/images/I/716jBafpFBL._SY88.jpg', 'https://m.media-amazon.com/images/I/71f6ib+OiiL._SY88.jpg']",2025-01-25,5,Colour: White,"[{'key': 'Colour', 'value': 'White'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 27 January 2025,amzn1.account.AFD7T75AUQMZEYDEVINXHTZQ3I5A,https://www.amazon.in/gp/profile/amzn1.account.AFD7T75AUQMZEYDEVINXHTZQ3I5A/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Nice product,R224O8DIFNMRZR,https://www.amazon.in/gp/customer-reviews/R224O8DIFNMRZR/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Nice product,True,False,[],2025-01-27,6,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 18 January 2025,amzn1.account.AHP5NGAMTBPX7OECEVK7II654O5Q,https://www.amazon.in/gp/profile/amzn1.account.AHP5NGAMTBPX7OECEVK7II654O5Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,3,Replacement requested under warranty,R3BEOJDNE7VBAF,https://www.amazon.in/gp/customer-reviews/R3BEOJDNE7VBAF/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,The charging pin of the smart watch has come off when we pulled the strap even mildly. It is not fitting back. We contacted the supplier and explained the problem. The watch can’t be used anymore. They advised me to get replacement from Amazon.  Kindly replace the same. Thank you,True,False,['https://m.media-amazon.com/images/I/81RqRJhh8mL._SY88.jpg'],2025-01-18,7,Colour: Jet Black,"[{'key': 'Colour', 'value': 'Jet Black'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 29 January 2025,amzn1.account.AH3VS2SV53P7MPG5AQ3JUFG2H2TQ,https://www.amazon.in/gp/profile/amzn1.account.AH3VS2SV53P7MPG5AQ3JUFG2H2TQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Good product.,R13OT49XMRPJ3X,https://www.amazon.in/gp/customer-reviews/R13OT49XMRPJ3X/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Received with good condition. I will write review after six month about reliability.,True,False,[],2025-01-29,8,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=1&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 30 October 2024,amzn1.account.AEKR47KMCY6IZZ56LRGRTORVPYNA,https://www.amazon.in/gp/profile/amzn1.account.AEKR47KMCY6IZZ56LRGRTORVPYNA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,4,Photography,R1Z8027OW569JU,https://www.amazon.in/gp/customer-reviews/R1Z8027OW569JU/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,This watch is good 😊👍,True,False,['https://m.media-amazon.com/images/I/61gWPd-OdcL._SY88.jpg'],2024-10-30,25,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 12 January 2025,amzn1.account.AHM3Y257ZYIEUFFJ5ADVWNVWSYIA,https://www.amazon.in/gp/profile/amzn1.account.AHM3Y257ZYIEUFFJ5ADVWNVWSYIA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,2,The charge is not lasting not even for a day,R3IR8AJJSDP6TX,https://www.amazon.in/gp/customer-reviews/R3IR8AJJSDP6TX/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,"Function wise meets all requirements but the strap is getting removed from the watch frequently, it's not locking into the watch properly and moreover the full charge is not even  lasting for a day",True,False,[],2025-01-12,26,Colour: Blue,"[{'key': 'Colour', 'value': 'Blue'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 29 October 2024,amzn1.account.AHGWTBDSOQGWKWUGECMZOMUPSQEQ,https://www.amazon.in/gp/profile/amzn1.account.AHGWTBDSOQGWKWUGECMZOMUPSQEQ/ref=cm_cr_othr_d_gw_tr?ie=UTF8,3,OK for kids,R5DJKESK5UC1W,https://www.amazon.in/gp/customer-reviews/R5DJKESK5UC1W/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,An OK product for the kids at this price.,True,False,[],2024-10-29,27,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 12 January 2025,amzn1.account.AGQXXZPAYMGICFUDNDHJGXKJUR2Q,https://www.amazon.in/gp/profile/amzn1.account.AGQXXZPAYMGICFUDNDHJGXKJUR2Q/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Very good,R2NQSY3P3BVN4V,https://www.amazon.in/gp/customer-reviews/R2NQSY3P3BVN4V/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,We used the watch for our kid and she was happy with the product as it has most of features which kids like. The product is available at affordable prize and the helpdesk is also helpful and solved all our queries,True,False,['https://m.media-amazon.com/images/I/71C-AgaLs-L._SY88.jpg'],2025-01-12,28,Colour: Pink,"[{'key': 'Colour', 'value': 'Pink'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
Reviewed in India on 30 January 2025,amzn1.account.AEIFZGHOXFFUZ5KHDQJX6WPSHATA,https://www.amazon.in/gp/profile/amzn1.account.AEIFZGHOXFFUZ5KHDQJX6WPSHATA/ref=cm_cr_othr_d_gw_tr?ie=UTF8,5,Good,R3QMD11ZVA7F4P,https://www.amazon.in/gp/customer-reviews/R3QMD11ZVA7F4P/ref=cm_cr_othr_d_rvw_ttl?ie=UTF8&ASIN=B0C6F1GT12,,Good,True,False,['https://m.media-amazon.com/images/I/611hzeFmLTL._SY88.jpg'],2025-01-30,29,Colour: Blue,"[{'key': 'Colour', 'value': 'Blue'}]",,,https://www.amazon.in/product-reviews/B0C6F1GT12?pageNumber=4&filterByStar=all_stars&sortBy=helpful&formatType=all_formats&asin=B0C6F1GT12&reftag=cm_cr_arp_d_paging_btm_next_4&scope=reviewsAjax0,allStars,,B0C6F1GT12,B0C6F1GT12,B0C6F1GT12,"{'price': None, 'listPrice': None}",https://www.amazon.in//Bouncefit-D20-Fitness-Band-Smartwatch/dp/B0C6F1GT12/ref=zg_bs_g_5605728031_d_sccl_25/258-6888058-4683712?psc=1,India,
